question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
3hop1__222979_40769_64047,3hop,frontier,0,-9.2e-05
3hop1__222979_40769_64047,3hop,frontier,1,0.0015452
3hop1__222979_40769_64047,3hop,frontier,2,-0.0001
3hop1__222979_40769_64047,3hop,frontier,3,-4.28e-05
3hop1__222979_40769_64047,3hop,frontier,4,-5.819999999999999e-05
3hop1__222979_40769_64047,3hop,frontier,5,0.144212
3hop1__222979_40769_64047,3hop,frontier,6,0.2085
3hop1__222979_40769_64047,3hop,frontier,7,0.114606
3hop1__222979_40769_64047,3hop,frontier,8,0.149142
3hop1__222979_40769_64047,3hop,frontier,9,0.106402
3hop1__222979_40769_64047,3hop,frontier,10,0.312
3hop1__222979_40769_64047,3hop,frontier,11,0.21675
3hop1__222979_40769_64047,3hop,frontier,12,0.02703
3hop1__222979_40769_64047,3hop,frontier,13,0.033888
3hop1__222979_40769_64047,3hop,frontier,14,0.27675
3hop1__222979_40769_64047,3hop,frontier,15,0.096456
3hop1__222979_40769_64047,3hop,frontier,16,0.1785
3hop1__222979_40769_64047,3hop,frontier,17,0.222
3hop1__222979_40769_64047,3hop,frontier,18,0.216
3hop1__222979_40769_64047,3hop,frontier,19,0.2055
