task_id,task_family,baseline,selector_regime_label,raw_structural_regime_label,final_selector_regime_label,metric_claim_level,sufficiency_score,missing_critical_finding_rate,redundancy_waste_rate,unsupported_claim_risk,budget_comparable,budget_status,budget_tokens,selected_token_count,budget_overrun_tokens,selected_tokens,diagnostic_escalation_rate,ambiguity_rate,cost_aware_policy_outcome,expected_escalation_benefit,selected_findings,missing_critical_findings,redundant_findings,data_source_kind
multi_hop_bridge_city,multi_hop_evidence_assembly,minimal_context,ambiguous,pairwise_escalate,ambiguous,operational_utility_only,0.0,1.0,0.0,0.75,true,within_budget,32,0,0,0,0.0,1.0,minimal_context,0.0,,multi_hop_answer_location;multi_hop_bridge_entity,,fixture
multi_hop_bridge_city,multi_hop_evidence_assembly,full_context,pairwise_escalate,pairwise_escalate,pairwise_escalate,operational_utility_only,1.0,0.0,0.0,0.0,false,over_budget_reference,32,54,22,54,0.0,0.0,full_context,0.35,multi_hop_bridge_entity;multi_hop_answer_location;multi_hop_lexical_decoy;multi_hop_background;multi_hop_irrelevant_date,,,fixture
multi_hop_bridge_city,multi_hop_evidence_assembly,top_k_retrieval,pairwise_escalate,pairwise_escalate,pairwise_escalate,operational_utility_only,0.5,0.5,0.0,0.375,true,within_budget,32,25,0,25,0.0,0.0,top_k_retrieval,0.35,multi_hop_lexical_decoy;multi_hop_bridge_entity,multi_hop_answer_location,,fixture
multi_hop_bridge_city,multi_hop_evidence_assembly,mmr_density_greedy,pairwise_escalate,pairwise_escalate,pairwise_escalate,operational_utility_only,1.0,0.0,0.0,0.0,true,within_budget,32,25,0,25,0.0,0.0,mmr_density_greedy,0.35,multi_hop_answer_location;multi_hop_bridge_entity,,,fixture
multi_hop_bridge_city,multi_hop_evidence_assembly,always_sag,pairwise_escalate,pairwise_escalate,pairwise_escalate,operational_utility_only,1.0,0.0,0.0,0.0,true,within_budget,32,25,0,25,1.0,0.0,always_sag,0.35,multi_hop_bridge_entity;multi_hop_answer_location,,,fixture
multi_hop_bridge_city,multi_hop_evidence_assembly,v12_cost_aware_diagnostic_policy,pairwise_escalate,pairwise_escalate,pairwise_escalate,operational_utility_only,1.0,0.0,0.0,0.0,true,within_budget,32,25,0,25,1.0,0.0,pairwise_escalate,0.35,multi_hop_bridge_entity;multi_hop_answer_location,,,fixture
paper_revision_claim_boundary,paper_revision_microtask,minimal_context,ambiguous,greedy_supported,ambiguous,operational_utility_only,0.0,1.0,0.0,0.75,true,within_budget,38,0,0,0,0.0,1.0,minimal_context,0.0,,paper_no_measurement_validation;paper_p45_non_calibrated;paper_p46_synthetic_scope,,fixture
paper_revision_claim_boundary,paper_revision_microtask,full_context,greedy_supported,greedy_supported,greedy_supported,operational_utility_only,1.0,0.0,0.4,0.1,false,over_budget_reference,38,49,11,49,0.0,0.0,full_context,0.05,paper_p45_non_calibrated;paper_no_measurement_validation;paper_p46_synthetic_scope;paper_legacy_v10_note;paper_extra_related_work,,paper_extra_related_work;paper_legacy_v10_note,fixture
paper_revision_claim_boundary,paper_revision_microtask,top_k_retrieval,greedy_supported,greedy_supported,greedy_supported,operational_utility_only,1.0,0.0,0.0,0.0,true,within_budget,38,32,0,32,0.0,0.0,top_k_retrieval,0.05,paper_p45_non_calibrated;paper_no_measurement_validation;paper_p46_synthetic_scope,,,fixture
paper_revision_claim_boundary,paper_revision_microtask,mmr_density_greedy,greedy_supported,greedy_supported,greedy_supported,operational_utility_only,1.0,0.0,0.0,0.0,true,within_budget,38,32,0,32,0.0,0.0,mmr_density_greedy,0.05,paper_no_measurement_validation;paper_p45_non_calibrated;paper_p46_synthetic_scope,,,fixture
paper_revision_claim_boundary,paper_revision_microtask,always_sag,greedy_supported,greedy_supported,greedy_supported,operational_utility_only,1.0,0.0,0.0,0.0,true,within_budget,38,32,0,32,1.0,0.0,always_sag,0.05,paper_p45_non_calibrated;paper_no_measurement_validation;paper_p46_synthetic_scope,,,fixture
paper_revision_claim_boundary,paper_revision_microtask,v12_cost_aware_diagnostic_policy,greedy_supported,greedy_supported,greedy_supported,operational_utility_only,1.0,0.0,0.0,0.0,true,within_budget,38,32,0,32,0.0,0.0,monitored_greedy,0.05,paper_no_measurement_validation;paper_p45_non_calibrated;paper_p46_synthetic_scope,,,fixture
repo_change_review_claim_boundary,repo_change_review_microtask,minimal_context,ambiguous,higher_order_risk,ambiguous,operational_utility_only,0.0,1.0,0.0,0.75,true,within_budget,34,0,0,0,0.0,1.0,minimal_context,0.0,,repo_changed_artifact;repo_claim_boundary;repo_missing_guardrail_test,,fixture
repo_change_review_claim_boundary,repo_change_review_microtask,full_context,higher_order_risk,higher_order_risk,higher_order_risk,operational_utility_only,1.0,0.0,0.4,0.1,false,over_budget_reference,34,50,16,50,0.0,0.0,full_context,0.45,repo_changed_artifact;repo_claim_boundary;repo_missing_guardrail_test;repo_format_noise;repo_unrelated_doc,,repo_format_noise;repo_unrelated_doc,fixture
repo_change_review_claim_boundary,repo_change_review_microtask,top_k_retrieval,higher_order_risk,higher_order_risk,higher_order_risk,operational_utility_only,1.0,0.0,0.0,0.0,true,within_budget,34,34,0,34,0.0,0.0,top_k_retrieval,0.45,repo_changed_artifact;repo_claim_boundary;repo_missing_guardrail_test,,,fixture
repo_change_review_claim_boundary,repo_change_review_microtask,mmr_density_greedy,higher_order_risk,higher_order_risk,higher_order_risk,operational_utility_only,1.0,0.0,0.0,0.0,true,within_budget,34,34,0,34,0.0,0.0,mmr_density_greedy,0.45,repo_claim_boundary;repo_changed_artifact;repo_missing_guardrail_test,,,fixture
repo_change_review_claim_boundary,repo_change_review_microtask,always_sag,higher_order_risk,higher_order_risk,higher_order_risk,operational_utility_only,1.0,0.0,0.0,0.0,true,within_budget,34,34,0,34,1.0,0.0,always_sag,0.45,repo_claim_boundary;repo_missing_guardrail_test;repo_changed_artifact,,,fixture
repo_change_review_claim_boundary,repo_change_review_microtask,v12_cost_aware_diagnostic_policy,ambiguous,higher_order_risk,ambiguous,ambiguous_metric,1.0,0.0,0.0,0.0,true,within_budget,34,34,0,34,0.0,1.0,ambiguous_downgrade,0.0,repo_claim_boundary;repo_changed_artifact;repo_missing_guardrail_test,,,fixture
